2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 21:55:26,623 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.771561, cost: 0.031274, cost_chiquare:0.030156, cost_l1:0.001086, cost_ltsv:0.000033
2019-09-05 21:55:31,278 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 2.593742, cost: 0.031271, cost_chiquare:0.030151, cost_l1:0.001086, cost_ltsv:0.000034
2019-09-05 21:55:35,770 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 2.357948, cost: 0.031269, cost_chiquare:0.030147, cost_l1:0.001086, cost_ltsv:0.000036
2019-09-05 21:55:40,125 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.464100, cost: 0.031267, cost_chiquare:0.030144, cost_l1:0.001086, cost_ltsv:0.000037
2019-09-05 21:55:44,303 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.031266, cost_chiquare:0.030142, cost_l1:0.001086, cost_ltsv:0.000038
2019-09-05 21:55:48,760 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.031265, cost_chiquare:0.030140, cost_l1:0.001086, cost_ltsv:0.000039
2019-09-05 21:55:53,288 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.610510, cost: 0.031264, cost_chiquare:0.030139, cost_l1:0.001086, cost_ltsv:0.000039
2019-09-05 21:55:57,799 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.610510, cost: 0.031263, cost_chiquare:0.030138, cost_l1:0.001086, cost_ltsv:0.000039
2019-09-05 21:56:02,255 INFO cv :2/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 90.483998
2019-09-05 21:56:02,917 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 57.625598, cost_chiquare:30.172560, cost_l1:0.005684, cost_ltsv:0.000192
2019-09-05 21:56:07,395 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.032246, cost_chiquare:0.031164, cost_l1:0.001094, cost_ltsv:0.000035
2019-09-05 21:56:11,911 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.031301, cost_chiquare:0.030181, cost_l1:0.001099, cost_ltsv:0.000027
2019-09-05 21:56:16,492 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.031005, cost_chiquare:0.029901, cost_l1:0.001074, cost_ltsv:0.000027
2019-09-05 21:56:21,011 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.030878, cost_chiquare:0.029761, cost_l1:0.001087, cost_ltsv:0.000028
2019-09-05 21:56:25,543 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.030840, cost_chiquare:0.029727, cost_l1:0.001083, cost_ltsv:0.000029
2019-09-05 21:56:30,050 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 1.948717, cost: 0.030829, cost_chiquare:0.029716, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 21:56:34,645 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.030821, cost_chiquare:0.029706, cost_l1:0.001084, cost_ltsv:0.000030
2019-09-05 21:56:39,116 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.030811, cost_chiquare:0.029698, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 21:56:43,642 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.948717, cost: 0.030804, cost_chiquare:0.029689, cost_l1:0.001084, cost_ltsv:0.000031
2019-09-05 21:56:48,002 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.210000, cost: 0.030797, cost_chiquare:0.029681, cost_l1:0.001084, cost_ltsv:0.000032
2019-09-05 21:56:52,600 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.464100, cost: 0.030791, cost_chiquare:0.029674, cost_l1:0.001083, cost_ltsv:0.000034
2019-09-05 21:56:57,180 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.771561, cost: 0.030786, cost_chiquare:0.029667, cost_l1:0.001084, cost_ltsv:0.000036
2019-09-05 21:57:01,603 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.331000, cost: 0.030782, cost_chiquare:0.029660, cost_l1:0.001084, cost_ltsv:0.000038
2019-09-05 21:57:06,245 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.948717, cost: 0.030779, cost_chiquare:0.029655, cost_l1:0.001084, cost_ltsv:0.000041
2019-09-05 21:57:10,686 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.030776, cost_chiquare:0.029650, cost_l1:0.001084, cost_ltsv:0.000043
2019-09-05 21:57:15,196 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.610510, cost: 0.030774, cost_chiquare:0.029646, cost_l1:0.001084, cost_ltsv:0.000045
2019-09-05 21:57:19,710 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.030773, cost_chiquare:0.029642, cost_l1:0.001084, cost_ltsv:0.000047
2019-09-05 21:57:24,189 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.030772, cost_chiquare:0.029639, cost_l1:0.001084, cost_ltsv:0.000049
2019-09-05 21:57:28,828 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 2.143589, cost: 0.030771, cost_chiquare:0.029637, cost_l1:0.001084, cost_ltsv:0.000050
2019-09-05 21:57:33,219 INFO cv :3/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 90.797557
2019-09-05 21:57:33,875 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 54.980221, cost_chiquare:30.992225, cost_l1:0.006045, cost_ltsv:0.000210
2019-09-05 21:57:38,313 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.032535, cost_chiquare:0.031339, cost_l1:0.001097, cost_ltsv:0.000036
2019-09-05 21:57:42,823 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.031306, cost_chiquare:0.030202, cost_l1:0.001084, cost_ltsv:0.000026
2019-09-05 21:57:47,398 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.031007, cost_chiquare:0.029918, cost_l1:0.001061, cost_ltsv:0.000026
2019-09-05 21:57:51,938 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.030857, cost_chiquare:0.029751, cost_l1:0.001077, cost_ltsv:0.000028
2019-09-05 21:57:56,459 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.030802, cost_chiquare:0.029701, cost_l1:0.001071, cost_ltsv:0.000029
2019-09-05 21:58:01,033 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.357948, cost: 0.030781, cost_chiquare:0.029678, cost_l1:0.001073, cost_ltsv:0.000030
2019-09-05 21:58:05,528 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.030769, cost_chiquare:0.029664, cost_l1:0.001074, cost_ltsv:0.000031
2019-09-05 21:58:10,146 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 2.853117, cost: 0.030758, cost_chiquare:0.029653, cost_l1:0.001073, cost_ltsv:0.000032
2019-09-05 21:58:14,373 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.610510, cost: 0.030748, cost_chiquare:0.029641, cost_l1:0.001074, cost_ltsv:0.000033
2019-09-05 21:58:18,536 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.610510, cost: 0.030740, cost_chiquare:0.029632, cost_l1:0.001074, cost_ltsv:0.000034
2019-09-05 21:58:22,785 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.143589, cost: 0.030732, cost_chiquare:0.029622, cost_l1:0.001074, cost_ltsv:0.000036
2019-09-05 21:58:27,248 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 2.143589, cost: 0.030726, cost_chiquare:0.029614, cost_l1:0.001073, cost_ltsv:0.000039
2019-09-05 21:58:31,687 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.771561, cost: 0.030721, cost_chiquare:0.029606, cost_l1:0.001073, cost_ltsv:0.000041
2019-09-05 21:58:36,154 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.610510, cost: 0.030717, cost_chiquare:0.029600, cost_l1:0.001073, cost_ltsv:0.000044
2019-09-05 21:58:40,553 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.210000, cost: 0.030714, cost_chiquare:0.029594, cost_l1:0.001073, cost_ltsv:0.000047
2019-09-05 21:58:45,143 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.610510, cost: 0.030711, cost_chiquare:0.029589, cost_l1:0.001073, cost_ltsv:0.000049
2019-09-05 21:58:49,522 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.100000, cost: 0.030709, cost_chiquare:0.029585, cost_l1:0.001073, cost_ltsv:0.000051
2019-09-05 21:58:54,112 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.030708, cost_chiquare:0.029582, cost_l1:0.001073, cost_ltsv:0.000052
2019-09-05 21:58:58,597 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.464100, cost: 0.030707, cost_chiquare:0.029580, cost_l1:0.001074, cost_ltsv:0.000054
2019-09-05 21:59:03,031 INFO cv :4/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 89.651822
2019-09-05 21:59:03,698 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.184919, cost_chiquare:31.232208, cost_l1:0.005940, cost_ltsv:0.000204
2019-09-05 21:59:08,174 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.853117, cost: 0.029971, cost_chiquare:0.028791, cost_l1:0.001097, cost_ltsv:0.000035
