2019-09-05 23:52:20,325 INFO <module> :Start CV
2019-09-05 23:58:22,288 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.031459, cost_chiquare:0.031369, cost_l1:0.000000, cost_ltsv:0.000036
2019-09-05 23:58:26,805 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 100/1000,  L: 2.357948, cost: 0.030235, cost_chiquare:0.030216, cost_l1:0.000000, cost_ltsv:0.000026
2019-09-05 23:58:31,300 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.029935, cost_chiquare:0.029907, cost_l1:0.000000, cost_ltsv:0.000026
2019-09-05 23:58:35,780 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 200/1000,  L: 1.948717, cost: 0.029783, cost_chiquare:0.029753, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-05 23:58:40,359 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 250/1000,  L: 2.357948, cost: 0.029727, cost_chiquare:0.029697, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:58:44,745 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 300/1000,  L: 1.610510, cost: 0.029706, cost_chiquare:0.029676, cost_l1:0.000000, cost_ltsv:0.000031
2019-09-05 23:58:49,419 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 350/1000,  L: 2.593742, cost: 0.029695, cost_chiquare:0.029663, cost_l1:0.000000, cost_ltsv:0.000031
2019-09-05 23:58:53,873 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 2.143589, cost: 0.029684, cost_chiquare:0.029651, cost_l1:0.000000, cost_ltsv:0.000032
2019-09-05 23:58:58,383 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 2.143589, cost: 0.029674, cost_chiquare:0.029640, cost_l1:0.000000, cost_ltsv:0.000033
2019-09-05 23:59:02,799 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 1.610510, cost: 0.029665, cost_chiquare:0.029630, cost_l1:0.000000, cost_ltsv:0.000035
