2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:04:28,806 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.771561, cost: 0.029882, cost_chiquare:0.028768, cost_l1:0.001084, cost_ltsv:0.000030
2019-09-05 16:04:33,421 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 2.357948, cost: 0.029877, cost_chiquare:0.028761, cost_l1:0.001084, cost_ltsv:0.000031
2019-09-05 16:04:38,042 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.357948, cost: 0.029872, cost_chiquare:0.028756, cost_l1:0.001084, cost_ltsv:0.000032
2019-09-05 16:04:42,987 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.948717, cost: 0.029868, cost_chiquare:0.028751, cost_l1:0.001084, cost_ltsv:0.000034
2019-09-05 16:04:47,598 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.610510, cost: 0.029865, cost_chiquare:0.028746, cost_l1:0.001084, cost_ltsv:0.000035
2019-09-05 16:04:52,217 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.771561, cost: 0.029862, cost_chiquare:0.028742, cost_l1:0.001084, cost_ltsv:0.000037
2019-09-05 16:04:56,935 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.464100, cost: 0.029860, cost_chiquare:0.028739, cost_l1:0.001084, cost_ltsv:0.000038
2019-09-05 16:05:01,648 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.029859, cost_chiquare:0.028736, cost_l1:0.001084, cost_ltsv:0.000039
2019-09-05 16:05:06,226 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.771561, cost: 0.029858, cost_chiquare:0.028734, cost_l1:0.001084, cost_ltsv:0.000040
2019-09-05 16:05:10,668 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.029856, cost_chiquare:0.028732, cost_l1:0.001084, cost_ltsv:0.000041
2019-09-05 16:05:15,305 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 2.143589, cost: 0.029856, cost_chiquare:0.028730, cost_l1:0.001084, cost_ltsv:0.000042
2019-09-05 16:05:19,593 INFO cv :2/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 92.569773
2019-09-05 16:05:20,273 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.223365, cost_chiquare:29.866936, cost_l1:0.005800, cost_ltsv:0.000204
2019-09-05 16:05:24,695 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.031208, cost_chiquare:0.030070, cost_l1:0.001072, cost_ltsv:0.000034
2019-09-05 16:05:29,188 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030292, cost_chiquare:0.029176, cost_l1:0.001096, cost_ltsv:0.000027
2019-09-05 16:05:33,722 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.029961, cost_chiquare:0.028859, cost_l1:0.001071, cost_ltsv:0.000027
