2019-09-09 18:16:30,023 INFO <module> :Start solver w/o CV
2019-09-09 19:23:15,395 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 150/1000,  L: 2.853117, cost: 0.131290, cost_chiquare:0.042397, cost_l1:0.088525, cost_ltsv:0.000370
2019-09-09 19:23:19,725 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 200/1000,  L: 1.948717, cost: 0.131147, cost_chiquare:0.041165, cost_l1:0.089656, cost_ltsv:0.000327
2019-09-09 19:23:24,011 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.25, Current iteration: 250/1000,  L: 2.357948, cost: 0.131109, cost_chiquare:0.041430, cost_l1:0.089382, cost_ltsv:0.000298
2019-09-09 19:23:28,681 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.767037, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.020446
2019-09-09 19:23:32,812 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 50/1000,  L: 2.357948, cost: 0.134159, cost_chiquare:0.041921, cost_l1:0.090541, cost_ltsv:0.001769
2019-09-09 19:23:37,151 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.131925, cost_chiquare:0.040454, cost_l1:0.090833, cost_ltsv:0.000657
2019-09-09 19:23:41,464 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.131422, cost_chiquare:0.042570, cost_l1:0.088415, cost_ltsv:0.000436
2019-09-09 19:23:45,911 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 200/1000,  L: 2.853117, cost: 0.131302, cost_chiquare:0.041185, cost_l1:0.089730, cost_ltsv:0.000392
2019-09-09 19:23:50,541 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.00, Current iteration: 250/1000,  L: 2.357948, cost: 0.131289, cost_chiquare:0.041501, cost_l1:0.089420, cost_ltsv:0.000368
2019-09-09 19:23:52,025 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.782096, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.036358
2019-09-09 19:23:56,715 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 50/1000,  L: 2.853117, cost: 0.134990, cost_chiquare:0.042509, cost_l1:0.089711, cost_ltsv:0.002703
2019-09-09 19:24:01,562 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 100/1000,  L: 2.853117, cost: 0.132135, cost_chiquare:0.040045, cost_l1:0.091317, cost_ltsv:0.000785
2019-09-09 19:24:06,179 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 150/1000,  L: 2.593742, cost: 0.131596, cost_chiquare:0.042783, cost_l1:0.088312, cost_ltsv:0.000502
2019-09-09 19:24:10,836 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.75, Current iteration: 200/1000,  L: 2.357948, cost: 0.131536, cost_chiquare:0.041324, cost_l1:0.089730, cost_ltsv:0.000484
